step,timestamp,action,price,position,realized_pnl
469,2025-06-07T05:50:24.417775,2,104716.22,-1,0.0
470,2025-06-07T05:50:24.418582,2,104708.86,-1,0.0
471,2025-06-07T05:50:24.419419,2,104728.17,-1,0.0
472,2025-06-07T05:50:24.420246,2,104744.18,-1,0.0
473,2025-06-07T05:50:24.421073,2,104767.16,-1,0.0
474,2025-06-07T05:50:24.421904,2,104767.15,-1,0.0
475,2025-06-07T05:50:24.422816,2,104767.14,-1,0.0
476,2025-06-07T05:50:24.423854,2,104739.92,-1,0.0
477,2025-06-07T05:50:24.424703,2,104705.7,-1,0.0
478,2025-06-07T05:50:24.425600,2,104701.01,-1,0.0
479,2025-06-07T05:50:24.426421,2,104679.16,-1,0.0
480,2025-06-07T05:50:24.427230,2,104679.16,-1,0.0
481,2025-06-07T05:50:24.428071,2,104666.67,-1,0.0
482,2025-06-07T05:50:24.428869,2,104657.27,-1,0.0
483,2025-06-07T05:50:24.429685,2,104643.63,-1,0.0
484,2025-06-07T05:50:24.430468,2,104651.18,-1,0.0
485,2025-06-07T05:50:24.431301,2,104651.18,-1,0.0
486,2025-06-07T05:50:24.432123,2,104654.32,-1,0.0
487,2025-06-07T05:50:24.432887,2,104674.41,-1,0.0
488,2025-06-07T05:50:24.433705,2,104674.41,-1,0.0
489,2025-06-07T05:50:24.434536,2,104659.23,-1,0.0
490,2025-06-07T05:50:24.435392,2,104674.39,-1,0.0
